"Raw Data File","tracer molecule","labelled positions","Abundance [%]",Injection,Replicate,"Incubation time [hours]","Metabolite name","CHEBI identifier","atomic positions of fragment","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue symbol","peaks abundances [%]"
RibHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,0,,
RibHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,-162,,
RibHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,160897,m0,
RibHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,28968,m1,
RibHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,19406,m2,
RibHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,3548,m3,
RibHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,3450,m4,
RibHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,260,m5,
RibHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,27,,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,-140,,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,203137,m0,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,36588,m1,
RibHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,24410,m2,
